날짜-시간,이벤트유형,장비/상세,원본메시지
2025-03-10-04-03,ERROR,6ABL0122 Error 발생하여 -> CLOSE,6ABL0122 Error 발생하여 Input Close 하겠습니다.
2025-03-10-04-25,ERROR,-> OPEN,Error 처리 완료되어 Open하였습니다.
2025-03-10-06-22,ERROR,4ABLD121 -> CLOSE,"안녕하세요 4ABLD121 ERROR 발생으로 4F,7F AI CLOSE 하겠습니다."
2025-03-10-06-29,OPEN,4ABLD121,4ABLD121 조치 완료되어 AI Open 했습니다.
2025-03-10-08-51,ERROR,4ABLD121 Error 발생으로 -> CLOSE,안녕하세요  4ABLD121 Error 발생으로 AI Close 하겠습니다.
2025-03-10-09-59,ERROR,4ABLD121 -> OPEN,4ABLD121 Error 조치 후 AI Open 하였습니다.
2025-03-10-13-15,ERROR,4ABLD131 Error 발생으로 -> CLOSE,안녕하세요  4ABLD131 Error 발생으로 AI Close 하겠습니다.
2025-03-10-13-30,ERROR,4ABLD131 -> OPEN,4ABLD131 Error 조치 후 AI Open 하였습니다.
2025-03-10-20-20,ERROR,4ABLD122 Error 발생으로 -> CLOSE,4ABLD122 Error 발생으로 AI Close 했습니다.
2025-03-10-20-29,ERROR,4ABLD122 -> OPEN,4ABLD122 Error 조치 완료되어 AI Open 했습니다.
2025-03-11-08-59,CLOSE,4ABLD111,"4ABLD111호기 감속기 교체작업으로 4F, 7F AI Close 하겠습니다."
2025-03-11-10-20,ERROR,4ABLD112 -> CLOSE,"4ABLD112 ERROR 발생으로 4F, 7F AI CLOSE 하겠습니다."
2025-03-11-11-17,ERROR,4ABLD112 -> OPEN,"4ABLD112 Error 조치 완료되어 4F, 7F AI Open 했습니다."
2025-03-12-04-48,ERROR,4ABLD132 Error 발생으로 -> CLOSE,안녕하세요. 4ABLD132호기 Error 발생으로 AI Port Close 하겠습니다.
2025-03-12-04-59,ERROR,4ABLD132 -> OPEN,4ABLD132 Error 조치 완료되어 AI Open 했습니다.
2025-03-12-18-58,ERROR,6ABL6032 Error 발생으로 -> CLOSE,안녕하세요. 6ABL6032호기 Error 발생으로 AI Port Close 하겠습니다.
2025-03-12-19-10,ERROR,6ABL6032 -> OPEN,6ABL6032 Error 조치 완료되어 AI Open 했습니다.
2025-03-12-19-54,OPEN,,작업 완료되어 포트 순차적 오픈하겠습니다.
2025-03-12-19-59,OPEN,4AFC3301,4AFC3301은 오픈 완료입니다.
2025-03-12-20-05,ERROR,4AFC3301 Error발생으로,4AFC3301 CVLH04 Error발생으로 점검중 입니다.
2025-03-12-20-10,ERROR,4AFC3301,4AFC3301 CVLH04 Error 조치 완료되었습니다.
2025-03-12-20-11,OPEN,4AFC3201,4AFC3201 포트 전체 Open했습니다.
2025-03-13-04-15,ERROR,6ABL6032,6ABL6032_AO313 Conv Error 조치로 20분간 Driver 교체 진행하겠습니다.
2025-03-13-19-58,ERROR,4ABLD112 -> CLOSE,"4ABLD112 ERROR 발생으로 4F, 7F AI CLOSE 하겠습니다."
2025-03-13-20-12,ERROR,4ABLD112 -> OPEN,4ABLD112 Error 조치 완료되어 AI Open 했습니다.
2025-03-14-05-02,ERROR,4ABLD112 -> CLOSE,"안녕하세요. 4ABLD112 ERROR 발생으로 4F, 7F AI CLOSE 하겠습니다."
2025-03-14-05-16,ERROR,4ABLD112 -> OPEN,4ABLD112 Error 조치 완료되어 AI Open 했습니다.
2025-03-14-09-40,ERROR,4ABLD121 -> CLOSE,"4ABLD121 호기 ERROR 발생으로 4F,7F AI CLOSE 하겠습니다"
2025-03-14-09-46,ERROR,4ABLD121 -> OPEN,"4ABLD121 호기 ERROR 조치 완료되어 4F,7F AI OPEN 했습니다."
2025-03-14-11-55,ERROR,4ABLD112 Error 발생으로 -> CLOSE,"4ABLD112호기 Error 발생으로 4F, 7F AI CLOSE 하겠습니다"
2025-03-14-12-02,ERROR,4ABLD112 -> OPEN,"4ABLD112 호기 ERROR 조치 완료되어 4F,7F AI OPEN 하겠습니다."
2025-03-14-21-39,ERROR,4ABLD131 -> CLOSE,"4ABLD131 호기 ERROR 발생으로 4F, 7F AI CLOSE 하겠습니다."
2025-03-14-21-53,ERROR,4ABLD131 -> OPEN,4ABLD131 Error 조치 완료되어 AI Open 했습니다.
2025-03-15-04-59,ERROR,Error발생으로,Bridge OHT Error발생으로 정체중입니다.
2025-03-15-05-02,ERROR,Error발생으로,"Bridge OHT Error발생으로 정체중입니다. (박성연,이천AMHS운영/TL,2025-03-15 04:59:07) ┖ 조치되었습니다."
2025-03-15-05-37,ERROR,Error발생으로,Bridge OHT Error발생으로 정체중입니다
2025-03-15-05-40,CLOSE,4ABLD131,"안녕하세요. 4ABLD131_AO41 - OHT 연계 Err 발생 관련 정체 발생 RAIL 121, 122, 131, 132 AO41 Conv Full 반송 지연관련 해당 4개장비 AI75 Close 하였습니다."
2025-03-15-05-41,ERROR,Error발생으로,"Bridge OHT Error발생으로 정체중입니다 (김현진,이천AMHS운영/TL,2025-03-15 05:37:51) ┖ Error 조치 되었습니다"
2025-03-15-05-45,OPEN,,정체 해소되어 4개 호기 AI75 Open 하였습니다.
2025-03-15-10-53,ERROR,4ABLD132 -> CLOSE,"4ABLD132 ERROR 발생하여 4F,7F AI CLOSE 하겠습니다."
2025-03-15-10-59,ERROR,4ABLD132 -> OPEN,"4ABLD132 Error 조치 완료되어 4F, 7F AI OPEN 했습니다."
2025-03-15-13-15,ERROR,4ABLD112 -> CLOSE,"4ABLD112 ERROR 발생하여 4F,7F AI CLOSE 하겠습니다."
2025-03-15-13-20,ERROR,4ABLD112 -> OPEN,"4ABLD112 Error 조치 완료되어 4F, 7F AI OPEN 했습니다."
2025-03-16-08-15,ERROR,4ABLD122 -> CLOSE,"4ABLD122 ERROR 발생하여 4F,7F AI CLOSE 하겠습니다."
2025-03-16-08-24,ERROR,4ABLD122 -> OPEN,"4ABLD122 ERROR 조치 완료되어 4F,7F AI OPEN 하겠습니다."
2025-03-16-11-58,ERROR,Error발생으로,Bridge OHT Error발생으로 정체중입니다.
2025-03-16-12-37,ERROR,4ABLD111,"{{@민광기::285753}} 진행 사항 확인 부탁 드립니다. 4F 아래 장비에서 Foup 출고가 지연되고 있습니다. 4ABLD111_AO45, 4ABLD112_AO41,AO45, 4ABLD121_AO45, 4ABLD122_AO45 (오철민,이천AMHS운영/TL,2025-03-16 12:33:04) ┖ E:9600 발생하여 Error Reset 불가해 일단 ST.1580→1581 Rail Cut 후 ST.1581로 OHT 이동 시켰습니다. 해당 구역은 반송에 영향 없으며 점차 반송 정체 해소되고 있습니다."
2025-03-16-13-10,ERROR,4ABLD131,"{{@오철민::8149}} Bridge에서 발생한 Error 관련 처리가 되지 않아 MTH로 빼기위해 St.2606~2607로 가는 직선 Rail의 Rail Cut 필요합니다. 시간은 약 10분정도면 될것 같습니다. Rail Cut 진행시 4ABLD131_AI43, AO43 Port 사용 불가입니다."
2025-03-16-13-19,OPEN,,{{@오철민::8149}} 작업 완료되어 Rail Open했습니다.
2025-03-18-06-42,ERROR,Error발생으로,OHT Error발생으로 정체중입니다.
2025-03-18-06-59,ERROR,Error발생으로,"OHT Error발생으로 정체중입니다. (김현진,이천AMHS운영/TL,2025-03-18 06:42:46) ┖ Error조치되었습니다"
2025-03-18-14-43,ERROR,4ABLD121,"M14B SFA Lifter 작업 내용 공유 3/18~3/21 4ABLD121 호기 감속기 교체 예정이었는데, 풉감지센서 Error 다발하여 운영에 어려움을 겪고 있어 감속기 교체 하지않고, 3/19~3/21 4ABLD121 호기 풉 감지 센서 Error 개선 프로그램 적용하고, 주간에만 장비 TEST 후 야간에 장비 AUTO UP 예정입니다"
2025-03-18-15-29,CLOSE,,"ZT4-1 2F, 3F, 6F AI CLOSE 하였습니다."
2025-03-18-19-02,OPEN,,"ZT4-1 2F, 3F, 6F AI OPEN 하였습니다."
2025-03-18-20-56,ERROR,4AFC3301 Error 발생으로,안녕하세요 4AFC3301 Error 발생으로 A_IN80~89 차단하겠습니다.
2025-03-18-21-18,ERROR,-> OPEN,Error 해결되어 A_IN80~89 OPEN 했습니다
2025-03-19-08-30,ERROR,4ABLD121,"3/19~3/21 주간에 M14B lifter 센서 에러 다발로 개선적용 긴급하게 필요하여, 감속기 교체 작업 대신 4ABLD121호기 개선적용 진행예정입니다. 야간에는 장비 up하겠습니다"
2025-03-19-09-00,CLOSE,4ABLD121,"4ABLD121 개선적용 관련 4F,7F AI Close 하겠습니다."
2025-03-19-10-40,OPEN,4AFC3301,CVLH04점검완료되어 4AFC3301_IN85~89 Open 하겠습니다.
2025-03-19-14-58,ERROR,4ABLD131 -> CLOSE,"4ABLD131 ERROR 발생하여 4F,7F AI CLOSE 하겠습니다"
2025-03-19-15-30,ERROR,4ABLD131 -> OPEN,"4ABLD131 ERROR 조치 완료되어 4F,7F AI OPEN 하겠습니다"
2025-03-19-16-43,OPEN,4ABLD121,"4ABLD121 금일 개선작업 종료 후 4F,7F AI OPEN 하였습니다"
2025-03-19-16-46,ERROR,4ABLD121 Error 발생으로 -> CLOSE,"4ABLD121 Error 발생으로 4F,7F AI Close 하겠습니다"
2025-03-19-16-54,ERROR,4ABLD121 -> OPEN,"4ABLD121 Error 조치 후 4F,7F AI Open 하였습니다"
2025-03-19-21-19,ERROR,4ABLD121 -> CLOSE,"4ABLD121 ERROR 발생하여 4F,7F AI CLOSE 하겠습니다"
2025-03-19-21-31,ERROR,4ABLD121 -> OPEN,"4ABLD121 ERROR 조치 완료되어 4F,7F AI OPEN 하겠습니다."
2025-03-20-00-26,ERROR,4AFC3301 Error 발생으로,4AFC3301 Error 발생으로 16-> 14 INPUT 차단 하겠습니다.
2025-03-20-00-52,ERROR,4AFC3301 -> OPEN,4AFC3301 Error 조치완료되어 전체포트 오픈 했습니다.
2025-03-20-01-03,ERROR,4AFC3301,4AFC3301 CVLH4호기 Error로 input85~89 차단(50%) 했습니다.
2025-03-20-01-11,ERROR,4AFC3301 -> OPEN,4AFC3301 CVLH4호기 Error 조치되어 Input85~89 Open했습니다.
2025-03-20-07-56,ERROR,4ABLD121,"3/19~3/21 주간에 M14B lifter 센서 에러 다발로 개선적용 긴급하게 필요하여, 감속기 교체 작업 대신 4ABLD121호기 개선적용 진행예정입니다. 야간에는 장비 up하겠습니다 (조순완,이천AMHS운영/TL,2025-03-19 08:30:36) ┖ 안녕하세요."
2025-03-20-09-00,CLOSE,4ABLD121,"4ABLD121 개선작업 관련 4F,7F AI Close 하겠습니다."
2025-03-20-12-03,OPEN,4ABLD121,"4ABLD121 개선작업 완료 후 4F,7F AI OPEN 하였습니다"
2025-03-20-14-09,ERROR,4ABLD112 Error 발생으로 -> CLOSE,안녕하세요. 4ABLD112호기 Error 발생으로 4F/7F AI Port Close 하겠습니다.
2025-03-20-14-27,CLOSE,4ABLD121,"4ABLD121 개선작업 추가 진행 위해 4F,7F AI Close 하겠습니다"
2025-03-20-15-47,OPEN,4ABLD121,"4ABLD121 개선작업 완료 후 4F,7F AI Open 하였습니다."
2025-03-21-11-22,ERROR,4ABLD112 Error 발생으로 -> CLOSE,"안녕하세요 4ABLD112 Error 발생으로 4F,7F AI Close 하였습니다."
2025-03-21-11-32,ERROR,4ABLD112 -> OPEN,4ABLD112호기 Error 조치 완료되어 AI Port Open 하였습니다.
2025-03-22-18-26,ERROR,4ABLD122 -> CLOSE,"4ABLD122 호기 ERROR 발생하여 4F,7F AI CLOSE 하겠습니다"
2025-03-22-18-31,ERROR,4ABLD122 -> OPEN,"4ABLD122 호기 ERROR 조치 완료되어 4F,7F AI OPEN 하겠습니다."
2025-03-22-20-44,ERROR,4ABLD131 -> CLOSE,"4ABLD131 호기 ERROR 발생하여 4F,7F AI CLOSE 하겠습니다."
2025-03-22-21-44,ERROR,4ABLD131 -> OPEN,"4ABLD131 호기 ERROR 조치 완료되어 4F,7F AI OPEN 하겠습니다."
2025-03-22-21-24,ERROR,4ABLD131 Error 발생하여 -> CLOSE,"4ABLD131 호기 Error 발생하여 4F, 7F AI CLOSE 하겠습니다."
2025-03-22-21-44,ERROR,4ABLD131 -> OPEN,"4ABLD131 ERROR 조치 완료되어 4F,7F AI OPEN 하겠습니다."
2025-03-23-07-18,ERROR,4ABLD122 Error 발생 -> CLOSE,"4ABLD122호기 Error 발생 하여 4F,7F AI Close 하였습니다."
2025-03-23-07-24,ERROR,4ABLD122 -> OPEN,"4ABLD122 ERROR 조치 완료되어 4F,7F AI OPEN 하겠습니다."
2025-03-23-07-59,ERROR,Error발생하여,Bridge OHT BV0190 Error발생하여 조치중으로 현재 정체 발생하고 있습니다.
2025-03-23-08-37,ERROR,Error발생하여,"Bridge OHT BV0190 Error발생하여 조치중으로 현재 정체 발생하고 있습니다. (김지훈,이천AMHS운영/TL,2025-03-23 07:59:01) ┖ 조치 완료되어 정체 해소중입니다."
2025-03-23-08-58,ERROR,4ABLD122 Error 발생하여 -> CLOSE,4ABLD122 Error 발생하여 AI Close 했습니다.
2025-03-23-08-59,ERROR,4ABLD122 -> OPEN,4ABLD122 ERROR 조치 완료되어 AI OPEN 하겠습니다.
2025-03-23-09-11,ERROR,4ABLD131 Error 발생하여 -> CLOSE,4ABLD131 Error 발생하여 AI Close 했습니다
2025-03-23-11-03,ERROR,4ABLD131 Error 발생하여 -> CLOSE,"4ABLD131 Error 발생하여 AI Close 했습니다 (이영재,이천AMHS운영/TL,2025-03-23 09:11:42) ┖ 09:40경에 하단 AI 막고, 상단 AI Open 했습니다."
2025-03-23-18-37,OPEN,4AFC3301,4AFC3301 18:19 조치 되어 순차적으로 PORT OPEN 진행 중입니다.
2025-03-23-18-49,OPEN,4AFC3301,18:36 4AFC3301 모든 PORT OPEN 하여 반송 소화중입니다.
2025-03-23-22-40,ERROR,6ABL6031 -> CLOSE,"M16A ZT 3-1호기 6ABL6031 Error로 3F, 6F AI  Close 했습니다."
2025-03-23-22-48,ERROR,-> OPEN,Error Clear 되어 Open 했습니다.
2025-03-23-22-56,ERROR,6ABL6031 Error 발생으로 -> CLOSE,"6ABL6031 Error 발생으로 3F, 6F AI Close 했습니다."
2025-03-24-09-33,ERROR,4ABLD111 Error 발생으로 -> CLOSE,4ABLD111 Error 발생으로 AI Close 했습니다
2025-03-24-09-54,ERROR,4ABLD111 -> OPEN,4ABLD111 Error 조치 완료되어 AI Open 했습니다.
2025-03-24-11-04,CLOSE,4ABLD132,"안녕하세요 4ABLD132,111호기 4F AO Delay가 심한데 혹시 작업하고 있는거 있을까요? 4ABLD132,4ABLD112 4F AO Delay 발생중으로 7F AI Close 하겠습니다"
2025-03-24-11-04,OPEN,,"132,112호기 Open 하였습니다."
2025-03-24-14-26,ERROR,4ABLD122 Error 발생하여 -> CLOSE,4ABLD122 Error 발생하여 AI Close 했습니다.
2025-03-24-14-38,ERROR,4ABLD122 -> OPEN,4ABLD122 Error 조치 후 AI Open 하였습니다.
2025-03-24-15-26,ERROR,4ABLD122 -> CLOSE,"안녕하세요 4ABLD122 ERROR 발생하여 4F,7F AI CLOSE 하겠습니다."
2025-03-24-15-36,ERROR,4ABLD122 -> OPEN,"4ABLD122 ERROR 조치 완료되어 4F,7F AI OPEN 하겠습니다."
2025-03-24-15-38,CLOSE,6ABL0112,6ABL0112호기 Conv 커플링 확인 작업으로 인해 AI CLOSE 하겠습니다 ( E2403 대응 작업 )
2025-03-24-16-43,OPEN,,해당 호기 작업 완료되어 AI OPEN 진행하였습니다
2025-03-25-06-54,ERROR,4ABLD112 Error 발생으로 -> CLOSE,4ABLD112 Error 발생으로 AI Close 했습니다
2025-03-25-07-06,ERROR,4ABLD112 -> OPEN,4ABLD112 Error 조치 완료되어 AI Open 했습니다
2025-03-25-09-04,CLOSE,4ABLD131,"안녕하세요 기존 인폼드린것과 같이 3/25~3/28 M14B Lifter 4ABLD131 호기 1대 감속기 교체작업 진행 위해 4F,7F AI Close 하겠습니다."
2025-03-26-09-57,ERROR,,M14B LIFT 위 OHT 에서 ERROR 발생하여 지연되고 있습니다. 현재 긴급 조치 중입니다
2025-03-26-09-57,ERROR,,M14B 7층 Bridge 에서 OHT error 로 조치중입니다
2025-03-26-10-00,ERROR,,해당 ERROR 가 기본 RESET 으로 처리가 되지 않는 ALARM 이라 현재 OHT 를 수동으로 빼고 있어 지체 되고 있습니다. 5~10분안에 완료될 예정입니다
2025-03-26-10-06,OPEN,,현재 4F 밀리는 QUE Open close 로 조치 진행하겠습니다.
2025-03-26-16-00,CLOSE,4ABLD112,4ABLD112호기 4F AI Port Full / 7F AO Port Full 관련 4F AI Port Close 하겠습니다.
2025-03-26-16-05,OPEN,4ABLD112,4ABLD112호기 4F AI Port Open 하였습니다.
2025-03-27-07-04,ERROR,,"M14B SFA Lifter BOPFOP 센서 Error로 개선 작업 예정입니다. 4/1 10:00~12:00 111호기 down 4/2 10:00~12:00 122호기 down 4/3 10:00~12:00 132호기 down 4/4 10:00~12:00 112호기 down 개선 작업 중 다른 호기 down되어 que증가할 경우, 작업 중단하고 장비 UP 하도록 하겠습니다"
2025-03-27-02-02,ERROR,4ABLD112 Error 발생으로 -> CLOSE,4ABLD112 Error 발생으로 AI Close 했습니다
2025-03-27-02-42,ERROR,4ABLD112 -> OPEN,4ABLD112 Error 조치 완료되어 AI Open 했습니다
2025-03-27-05-20,ERROR,4ABLD111 -> CLOSE,4ABLD111 호기 ERROR 발생으로 AI PORT CLOSE 했습니다.
2025-03-27-05-21,ERROR,Error 발생으로,M14 HUB OHT Error 발생으로 조치 중입니다. 정체 발생 할 수 있으니 참고 부탁드립니다.
2025-03-27-05-27,ERROR,Error 발생으로,"M14 HUB OHT Error 발생으로 조치 중입니다. 정체 발생 할 수 있으니 참고 부탁드립니다. (최민혁,이천AMHS운영/TL,2025-03-27 05:21:47) ┖ 조치 완료되었습니다."
2025-03-27-06-17,OPEN,4ABLD111,4ABLD111호기 05:33 AI Open 했습니다.
2025-03-28-05-39,ERROR,4ABLD132 -> CLOSE,"안녕하세요 4ABLD132 ERROR 발생하여 4F,7F AI CLOSE 하겠습니다"
2025-03-28-05-45,ERROR,4ABLD132 -> OPEN,"4ABLD132 ERROR 조치 완료되어 4F,7F AI OPEN 하겠습니다."
2025-03-28-10-13,OPEN,4ABLD131,"4ABLD131 감속기 교체 작업 완료되어 3,7F 상단 AI Open 했습니다."
2025-03-28-10-26,ERROR,4ABLD131 Error 발생하여 -> CLOSE,4ABLD131 Error 발생하여 AI Close 했습니다.
2025-03-28-10-35,ERROR,4ABLD131 -> OPEN,4ABLD131 Error 조치 완료되어 AI Open 했습니다.
2025-03-28-12-44,ERROR,4ABLD122 Error 발생하여 -> CLOSE,4ABLD122 Error 발생하여 AI Close 했습니다.
2025-03-28-12-55,ERROR,4ABLD122 -> OPEN,4ABLD122 Error 조치 완료되어 AI Open 했습니다.
2025-03-29-22-46,ERROR,4ABLD112 -> CLOSE,"4ABLD112 ERROR 발생하여 4F,7F AI CLOSE 하겠습니다"
2025-03-29-23-02,ERROR,4ABLD112 -> OPEN,"4ABLD112 ERROR 조치 완료되어 4F,7F AI OPEN 하겠습니다"
2025-03-30-02-22,ERROR,4ABLD122 -> CLOSE,"4ABLD122 ERROR 발생하여 4F,7F AI CLOSE 하겠습니다."
2025-03-30-02-41,ERROR,4ABLD122 -> OPEN,"4ABLD122 ERROR 조치 완료되어 4F,7F AI OPEN 하겠습니다."
2025-03-30-09-21,ERROR,6ABL0112 -> CLOSE,"6ABL0112 Error로 2F, 3F, 6F AI Close 했습니다."
2025-03-30-09-40,ERROR,6ABL0112 -> OPEN,"6ABL0112 Error 조치완료로 2F, 3F, 6F AI Open 했습니다."
2025-03-30-22-44,ERROR,4ABLD122 Error발생하여 -> CLOSE,"4ABLD122호기 Error발생하여 4F, 7F AI Close하겠습니다"
2025-03-30-22-59,ERROR,4ABLD122 -> OPEN,"4ABLD122 ERROR 조치 완료되어 4F,7F AI OPEN 하겠습니다."
2025-03-31-12-55,ERROR,4ABLD131 -> CLOSE,"안녕하세요 4ABLD131 ERROR 발생으로 4F,7F AI Close 하겠습니다."
2025-03-31-15-31,ERROR,4ABLD131 -> OPEN,"4ABLD131 Error 조치 후 4F,7F AI Open 하였습니다"
2025-04-01-10-05,ERROR,4ABLD111 -> CLOSE,"4ABLD111호기 ERROR 발생으로 4F, 7F AI Close 하였습니다."
2025-04-01-11-23,ERROR,4ABLD111 -> OPEN,"안녕하세요 4ABLD111 Error 조치 후 4F,7F AI Open 하였습니다."
2025-04-01-15-04,ERROR,4ABLD132 Error 발생으로 -> CLOSE,"4ABLD132호기 Error 발생으로 4F,7F AI Close 하였습니다."
2025-04-01-15-19,ERROR,4ABLD132 -> OPEN,"4ABLD132호기 Error 조치 되어 4F,7F AI Open 하였습니다."
2025-04-01-15-28,ERROR,4ABLD111 Error 발생으로 -> CLOSE,"4ABLD111호기 Error 발생으로 4,7F AI Close 했습니다."
2025-04-01-15-50,ERROR,4ABLD111 -> OPEN,"4ABLD111호기 Error 조치 완료되어 4F, 7F AI Open 했습니다."
2025-04-01-20-00,ERROR,,"M14B-M16 Bridge  Lifter BOPFOP 센서 Error로 개선 작업 예정입니다. 4/2 10:00~12:00 122호기 down 4/3 10:00~12:00 132호기 down 4/4 10:00~12:00 112호기 down 개선 작업 중 다른 호기 down되어 que증가할 경우, 작업 중단하고 장비 UP 하도록 하겠습니다"
2025-04-02-00-07,ERROR,4ABLD111 Error 발생으로 -> CLOSE,"4ABLD111호기 Error 발생으로 4F, 7F AI CLOSE 했습니다."
2025-04-02-09-39,ERROR,Error 발생으로,"금일 예정된 122호기는 센서 개선 작업하지 않고,  111호기 Error 발생으로 처리중입니다"
2025-04-02-10-23,ERROR,4ABLD111 -> OPEN,"안녕하세요 4ABLD111 Error 조치 후 4F,7F AI Open 하였습니다."
2025-04-02-16-22,ERROR,4AFC3301,4AFC3301(북측 Conveyor) QS Error 로 교체 중에 있습니다. M16->M14 방향 4AF3301 內 FOUP 이 많이 싸여  A_IN MAX CAPA 1로 하향 하였습니다.
2025-04-02-16-53,ERROR,4ABLD122 Error 발생으로 -> CLOSE,안녕하세요. 4ABLD122호기 Error 발생으로 4F/7F Auto In Port 모두 Close 했습니다.
2025-04-02-16-58,ERROR,4ABLD122 -> OPEN,"4ABLD122호기 Error 조치 완료되어 4F, 7F AI Open 했습니다."
2025-04-03-12-31,ERROR,4ABLD121 Error 발생으로 -> CLOSE,"안녕하세요 4ABLD121호기 Error 발생으로 4F, 7F AI CLOSE 했습니다."
2025-04-03-14-01,ERROR,4ABLD121 -> OPEN,"안녕하세요 4ABLD121 Error 조치 후 4F,7F AI Open 하였습니다."
2025-04-03-19-17,ERROR,4ABLD132 Error 발생하여 -> CLOSE,4ABLD132호기 Error 발생하여 AI Close 했습니다.
2025-04-03-19-40,ERROR,4ABLD132 -> OPEN,"4ABLD132호기 Error 조치 완료되어 4F, 7F AI Open 했습니다."
2025-04-04-15-08,ERROR,,Error Reset 후 Auto up 했습니다.
2025-04-04-18-36,ERROR,,Error Reset 후 Auto up 했습니다.
2025-04-05-20-38,ERROR,4AFC3301,4AFC3301_Motor Error로 LD 교체작업 진행합니다. 4AFC3301 전체 포트 차단하겠습니다.
2025-04-05-21-03,OPEN,4AFC3301,4AFC3301 LD 교체완료되어 포트 오픈 했습니다.
2025-04-06-02-56,ERROR,4ABLD112 Error 발생으로 -> CLOSE,안녕하세요. 4ABLD112호기 Error 발생으로 4F/7F AI Port Close 하겠습니다.
2025-04-06-03-05,ERROR,4ABLD112 -> OPEN,4ABLD112호기 Error조치 완료되어 AI OPEN 했습니다
2025-04-06-16-10,ERROR,6ABL0122,"안녕하세요 6ABL0122 Error로 2F, 3F, 6F AI Banned T 변경했습니다."
2025-04-06-14-39,ERROR,6ABL0122 -> OPEN,6ABL0122 Error Clear 되어 AI Open 했습니다.
2025-04-06-18-22,OPEN,6ABL0122,6ABL0122 작업 완료되어 AI Open 했습니다.
2025-04-07-05-59,ERROR,4ABLD122 Error발생하여 -> CLOSE,안녕하세요 4ABLD122호기 Error발생하여 AI Close 하겠습니다
2025-04-07-06-15,ERROR,4ABLD122 -> OPEN,4ABLD122호기 Error조치 완료되어 AI Open했습니다
2025-04-08-09-39,ERROR,4AFC3201,4AFC3201 OHT ERROR (M14 FAB)  발생으로  M16 -->M14  IN_80~85  50%차단했습니다.
2025-04-08-09-55,ERROR,4AFC3201 -> OPEN,4AFC3201 OHT ERROR (M14 FAB) 처리 완료 되어 M16 -->M14  IN_80~85 OPEN 했습니다.
2025-04-08-13-39,ERROR,4ABLD122 Error 발생으로 -> CLOSE,"4ABLD122호기 Error 발생으로 4F, 7F AI CLOSE 했습니다."
2025-04-08-14-10,ERROR,4ABLD122 -> OPEN,"4ABLD122호기 Error 조치 완료되어 4F, 7F AI OPEN 했습니다."
2025-04-08-17-25,OPEN,,Rail CUT OPEN 했습니다.
2025-04-09-14-22,OPEN,,{{@강준우::150369}} TL님  M14B-M16 hub lifter 는 작업완료되어 오픈 가능상태에요
2025-04-09-15-56,OPEN,,OPEN 하는데 문제 안되도록 OPEN 전에 작업은 마무리 하겠습니다.
2025-04-09-16-42,OPEN,,{{@진호섭::9749}}  {{@이정원::126514}} Bridge 정산 Open 되었을까요?
2025-04-11-01-45,ERROR,4ABLD132 Error 발생으로 -> CLOSE,"4ABLD132호기 Error 발생으로 4,7F AI Close 했습니다."
2025-04-11-01-51,ERROR,4ABLD132 -> OPEN,"4ABLD132호기 Error 조치되어 4,7F AI Open 했습니다."
2025-04-12-08-23,CLOSE,4AFC3201,4AFC3201 M16->M14  반송 정체로  Auto in 80_82 close 했습니다
2025-04-12-08-43,OPEN,,AFC3201 M16->M14 반송 해소되어  Auto in 80_82 open  했습니다
2025-04-14-12-23,ERROR,4ABLD122 Error 발생으로 -> CLOSE,"안녕하세요. 4ABLD122호기 Error 발생으로 4,7F AI Close 했습니다."
2025-04-14-12-27,ERROR,4ABLD122 -> OPEN,"4ABLD122호기 Error 조치되어 4,7F AI Open 했습니다."
2025-04-15-11-06,OPEN,4ABLD132,"안녕하세요 4ABLD132 점검 작업 완료 후 4F,7F AI open 하였습니다."
2025-04-15-11-40,ERROR,4ABLD131 Error 발생으로 -> CLOSE,안녕하세요. 4ABLD131호기 Error 발생으로 4F/7F AI Port Close 하겠습니다.
2025-04-15-11-59,ERROR,4ABLD131 -> OPEN,"4ABLD131호기 Error 조치되어 4,7F AI 상단 Open 했습니다."
2025-04-16-09-55,CLOSE,4ABLD111,"안녕하세요  4ABLD111 기존 Err 관련 불합리 검토 & 점검 작업으로 4F,7F AI Port Close 하겠습니다."
2025-04-16-10-06,ERROR,4ABLD131 Error 발생으로 -> CLOSE,"4ABLD131 Error 발생으로 4F,7F AI Close 하였습니다 111호기 4F,7F AI Open 하였습니다"
2025-04-16-10-32,ERROR,4ABLD131 -> CLOSE,"4ABLD131 Error 조치 후 4F,7F AI Open 하였습니다. 4abld111 4F,7F AI 다시 Close 하겠습니다./"
2025-04-16-11-28,OPEN,4ABLD111,"4ABLD111 점검 작업완료 후 4F,7F AI Open 하였습니다."
2025-04-16-14-57,ERROR,4ABLD111 Error 발생으로 -> CLOSE,"4ABLD111 호기 Error 발생으로 4F, 7F AI CLOSE 했습니다."
2025-04-16-15-13,OPEN,,작업완료되어 Rail Open 하였습니다
2025-04-16-16-07,ERROR,4ABLD111 -> OPEN,"4ABLD111호기 Error 조치 완료되어 4F, 7F AI OPEN 했씁니다"
2025-04-16-16-25,ERROR,4ABLD112 Error 발생하여 -> CLOSE,"4ABLD112 호기 Error 발생하여 4F, 7F AI CLOSE 했습니다."
2025-04-16-17-22,ERROR,4ABLD112 -> OPEN,"4ABLD112호기 Error 조치 완료되어 4F, 7F AI OPEN 했습니다."
